id;customerId;unitId;assetTag;serialNumber;equipmentType;brand;model;installationDate;status;notes;createdAt;updatedAt
cl0987654321fedcba8948;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-988;SN-988;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.235;ACTIVE;;2026-05-17 15:06:08.240;2026-05-27 15:06:08.240
cl0987654321fedcba8949;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-989;SN-989;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.236;ACTIVE;;2026-05-17 15:06:08.241;2026-05-27 15:06:08.241
cl0987654321fedcba8950;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-990;SN-990;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.237;ACTIVE;;2026-05-17 15:06:08.242;2026-05-27 15:06:08.242
cl0987654321fedcba8951;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-991;SN-991;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.238;ACTIVE;;2026-05-17 15:06:08.243;2026-05-27 15:06:08.243
cl0987654321fedcba8952;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-992;SN-992;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.239;ACTIVE;;2026-05-17 15:06:08.244;2026-05-27 15:06:08.244
cl0987654321fedcba8953;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-993;SN-993;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.240;ACTIVE;;2026-05-17 15:06:08.245;2026-05-27 15:06:08.245
cl0987654321fedcba8954;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-994;SN-994;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.241;ACTIVE;;2026-05-17 15:06:08.246;2026-05-27 15:06:08.246
cl0987654321fedcba8955;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-995;SN-995;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.242;ACTIVE;;2026-05-17 15:06:08.247;2026-05-27 15:06:08.247
cl0987654321fedcba8956;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-996;SN-996;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.243;ACTIVE;;2026-05-17 15:06:08.248;2026-05-27 15:06:08.248
cl0987654321fedcba8957;cmpy2ufih00005wouxz3cbl55;cmpy2w9gb00025wou2r99eg3u;EQ-997;SN-997;DISP HIG ROLAO ELISA BR/FM;Trilha;ELISA;2026-05-22 15:06:08.244;ACTIVE;;2026-05-17 15:06:08.249;2026-05-27 15:06:08.249
